reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,cleaned,sentimen
bfa0c0b2-0cc9-42fc-acf7-649a1fd31665,Aulia Zulfa,seru bagus,5,0,2.693.960,2025-10-10 10:56:22,seru bagus seru_bagus,Positif
0ac96058-d8d2-4fb6-a556-a147eb9fd417,Hendrik Ss,game nya Sangat seru sekali,5,0,2.693.960,2025-10-10 10:56:17,game seru game_seru,Positif
cade0e92-c51c-48ac-8563-b65547a113f5,Revan Dwi,pls roblox jangan kamu ngelag ngelaggg,3,0,2.693.960,2025-10-10 10:56:15,roblox lambat ngelaggg roblox_lambat lambat_ngelaggg roblox_lambat_ngelaggg,Netral
71a092dd-de4f-4e40-8a90-333075f3d3af,Ketut Darti,gamenya seru banget,5,0,2.693.960,2025-10-10 10:55:58,game seru game_seru,Positif
35a243c4-f6a1-46c7-a9be-8acd46846661,Muh Taopik,lag di kurangi 😊,5,0,2.694.983,2025-10-10 10:55:36,kurang,Positif
26cbfa39-2970-4818-a832-7f07870e3c07,Ridwan Star,mau login aja kg bisa malah g bisa masuk padahal pengen update,3,0,2.693.960,2025-10-10 10:55:32,login masuk ken update login_masuk masuk_ken ken_update login_masuk_ken masuk_ken_update,Netral
8bafe7e5-945f-47db-94c1-d28048dd95d0,Nur Mala234,aku suka game ini,5,0,2.693.960,2025-10-10 10:55:09,suka game suka_game,Positif
30acd1b2-b466-485e-a4aa-12ea4cb28450,Roswanti Axl,game nya bagus buat orang dewasa,5,0,2.693.960,2025-10-10 10:53:50,game bagus orang dewasa game_bagus bagus_orang orang_dewasa game_bagus_orang bagus_orang_dewasa,Positif
45d3c3d0-c68a-47ec-8d66-d3828cafffdb,Yenie Yenie,sangat bagus dan tidak membosankan,4,0,2.693.960,2025-10-10 10:52:54,bagus tidak bosan bagus_tidak bosan,Positif
38087226-1fe0-4fc1-bd5f-aee3c6d05d27,Redi Warung,good,5,0,2.693.960,2025-10-10 10:52:23,good,Positif
42c7d1b8-dcfa-4b43-8a2b-8fafc1d381de,Felisa aazahra,game ini bagus,5,0,2.693.960,2025-10-10 10:51:49,game bagus game_bagus,Positif
e01dbd03-9880-4745-a1c0-adb1652ae8f8,Edo Sianturu,sukaa bgtt sama game ini💞👍,5,0,,2025-10-10 10:51:47,sukaa bgtt game sukaa_bgtt bgtt_game sukaa_bgtt_game,Positif
7c213520-5b37-4f51-a19c-ad4eb6b9e815,Ibnu Amarudin,seru,5,0,2.693.960,2025-10-10 10:49:53,seru,Positif
c632f153-bce2-42b9-86f4-03dbf0c8862a,Mili Basel,Permaian nya seru bagettt aku suka jadi aku beri bintamg 5🤗,5,0,2.690.721,2025-10-10 10:49:35,permai seru bagettt suka bintamg permai_seru seru_bagettt bagettt_suka suka_bintamg permai_seru_bagettt seru_bagettt_suka bagettt_suka_bintamg,Positif
ccaabcc3-ce84-4076-a490-18c6db8a0a04,derrelsad gg d,baguss banget banyak game yang seru tapi suka diskonek padahal jaringan bagus dan seruu banget pokony,5,0,,2025-10-10 10:49:30,baguss game seru suka diskonek jaring bagus seruu pokony baguss_game game_seru seru_suka suka_diskonek diskonek_jaring jaring_bagus bagus_seruu seruu_pokony baguss_game_seru game_seru_suka seru_suka_diskonek suka_diskonek_jaring diskonek_jaring_bagus jaring_bagus_seruu bagus_seruu_pokony,Positif
76ea8c7e-a4d1-423e-a6f2-014c8b3cb50b,David Alvares,bagus dan sya suka main nya,5,0,2.693.960,2025-10-10 10:49:07,bagus suka main bagus_suka suka_main bagus_suka_main,Positif
9a938f16-2fee-450c-9950-e9ba0e411617,Yoga Indrawansah,bagus bang et,5,0,2.693.960,2025-10-10 10:49:00,bagus,Positif
8f3c1fb0-709a-4f6e-87a9-5f9e9c450d03,Agus Manurung,game ini sangat seru👌,5,0,2.693.960,2025-10-10 10:48:56,game seru game_seru,Positif
4695983f-3200-4982-a1ae-fdf4b2d17eb7,Himaya Nasrun,kenapa saya kasih bintang 🌟 lima karena bagus map map nya bisa Mabar saya kecanduan main game ini,5,0,2.693.960,2025-10-10 10:46:58,kasih bintang bagus mabar candu main game kasih_bintang bintang_bagus bagus_mabar mabar_candu candu_main main_game kasih_bintang_bagus bintang_bagus_mabar bagus_mabar_candu mabar_candu_main candu_main_game,Positif
